Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score
324,176,The Autobiography of Alice B. Toklas,Gertrude Stein,1933,American,English,200-300,64500,324,768
325,250,The Old Wives' Tale,Arnold Bennett,1908,British,English,600-800,190983,325,767
326,720,Black Lamb and Grey Falcon,Rebecca West,1941,British,English,1100-1200,480000,326,765
327,2248,Kristin Lavransdatter,Sigrid Undset,1920,Norwegian,Norwegian,1000-1400,360000,327,763
328,568,The God of Small Things,Arundhati Roy,1997,Indian,English,320,134000,328,762
329,1154,Our Mutual Friend,Charles Dickens,1864,British,English,800-900,168000,329,753
330,473,The Book of Disquiet,Fernando Pessoa,1982,Portuguese,Portuguese,240-544,80000,330,752
331,43,Housekeeping,Marilynne Robinson,1980,American,English,200-300,78000,331,752
332,46,Infinite Jest,David Foster Wallace,1996,American,English,1079,543000,332,751
333,705,The Elements of Style,"E. B. White, William Strunk Jr.",1918,American,English,50-100,20000,333,751
334,619,"The Sea, The Sea",Iris Murdoch,1978,British,English,500-550,200000,334,751
335,2748,The Mayor of Casterbridge,Thomas Hardy,1886,British,English,300-500,105000,335,748
336,1076,At Swim Two-Birds,Flann O'Brien,1939,Irish,English,200-300,72000,336,747
337,27,A Death in the Family,James Agee,1957,American,English,300-400,83000,337,747
338,2572,The Poems of Robert Frost,Robert Frost,1913,American,English,607,,338,746
339,103,His Dark Materials,Philip Pullman,1995,British,English,400-550,520000,339,744
340,371,The Brief Wondrous Life of Oscar Wao,Junot Diaz,2007,Dominican,English,300-400,207500,340,738
341,144,A Room With a View,E. M. Forster,1908,British,English,200-300,65000,341,738
342,2743,The Mill on the Floss,George Eliot,1860,British,English,500-700,203000,342,738
343,437,Murder on the Orient Express,Agatha Christie,1934,British,English,200-350,68000,343,735
344,2458,Cold Comfort Farm,Stella Gibbons,1932,British,English,230-250,95000,344,734
345,543,The Secret Garden,Frances Hodgson Burnett,1911,British,English,200-400,80000,345,732
346,264,The Quiet American,Graham Greene,1955,British,English,180-200,62000,346,732
347,935,The Princess of Cleves,Madame de La Fayette,1678,French,French,200-300,70000,347,731
348,195,Clarissa,Samuel Richardson,1748,British,English,1500-1600,984000,348,731
349,2441,Memoirs From Beyond the Grave,François-Auguste-René de Chateaubriand,1849,French,French,600-700,,349,728
350,2597,Ferdydurke,Witold Gombrowicz,1937,Polish,Polish,200-300,62000,350,724
351,368,Gilead,Marilynne Robinson,2004,American,English,247,84000,351,717
