Rank,Book,Authors,Year,Country,Language
1262,Mother,Maxim Gorky,1906,Russian,Russian
1264,Ten Days That Shook the World,John Reed,1919,American,English
1271,The True Story Of Ah Q,Lu Xun,1922,Chinese,Chinese
1273,The Golovlyov Family,Mikhail Saltykov-Shchedrin,1880,Russian,Russian
1277,Upanishads,Hindu scripture,-799,Indian,Sanskrit
1293,The Prelude,William Wordsworth,1850,British,English
1292,Anabasis,Xenophon,-390,Greek,Ancient greek
1301,Poems of Eugenio Montale,Eugenio Montale,1925,Italian,Italian
1303,Phenomenology of Mind,G. W. F. Hegel,1807,German,German
1306,What Maisie Knew,Henry James,1897,American,English
1310,The Diary of Samuel Pepys,Samuel Pepys,1825,British,English
1313,Joseph Andrews,Henry Fielding,1742,British,English
1312,Émile,Jean-Jacques Rousseau,1762,French,French
1317,The Murders in the Rue Morgue,Edgar Allan Poe,1841,American,English
1320,On the Genealogy of Morality,Friedrich Nietzsche,1887,German,German
1321,Dombey and Son,Charles Dickens,1846,British,English
1324,The Adventures of Peregrine Pickle,Tobias Smollett,1751,British,English
1322,The Nun,Denis Diderot,1796,French,French
1322,In a Glass Darkly,Sheridan Le Fanu,1872,Irish,English
1325,The Maias,Eça de Queirós,1888,Portuguese,Portuguese
1326,The Interesting Narrative of the Life of Olaudah Equiano,Olaudah Equiano,1789,African,English
1328,The Cathedral Folk,Nikolai Leskov,1872,Russian,Russian
1329,The 120 Days of Sodom,Marquis de Sade,1904,French,French
1330,The Natural History and Antiquities of Selborne,Gilbert White,1789,British,English
1336,The House Of Souls,Arthur Machen,1906,British,English
1338,Phaedo,Plato,-379,Greek,Ancient greek
1345,Song of Songs,Christian Church,-500,Jewish,Hebrew
1351,A Voyage To Arcturus,David Lindsay,1920,Scottish,English
1355,She,H. Rider Haggard,1887,British,English
1357,Villette,Charlotte Brontë,1853,British,English
1359,The Wandering Jew,Eugène Sue,1844,French,French
1365,Pygmalion,George Bernard Shaw,1913,British,English
1366,The Recognition of Sakuntala,Kālidāsa,-400,Indian,Sanskrit
1368,Herland,Charlotte Perkins Gilman,1915,American,English
1369,An Essay Concerning Human Understanding,John Locke,1689,British,English
1370,Oxford English Dictionary,Oxford University Press,1884,British,English
1375,Pan,Knut Hamsun,1894,Norwegian,Norwegian
1377,Masnavi,Jalal al-Din Muhammad Rumi,1258,Persian,Persian
1381,Petersburg,Andrei Bely,1913,Russian,Russian
1382,Bostan,Saadi,1257,Persian,Persian
1387,A Sentimental Journey Through France and Italy,Laurence Sterne,1768,British,English
1388,The Country of the Pointed Firs,Sarah Orne Jewett,1896,American,English
1389,Rob Roy,Sir Walter Scott,1817,British,English
1390,The Fruits of the Earth,André Gide,1897,French,French
1394,"Julie, or the New Heloise",Jean-Jacques Rousseau,1761,French,French
1393,The Return of the Soldier,Rebecca West,1918,British,English
1400,Locus Solus,Raymond Roussel,1914,French,French
1403,The Anatomy of Melancholy,Robert Burton,1621,British,English
1405,Strait is the Gate,André Gide,1909,French,French
1405,Crome Yellow,Aldous Huxley,1921,British,English
1404,What Is To Be Done?,Vladimir Il’ich Lenin,1902,Russian,Russian
1412,Poem of the Cid,Unknown,1207,Spanish,Old spanish
1414,Pallieter,Felix Timmermans,1916,Belgian,Dutch
1415,The Charwoman's Daughter,James Stephens,1912,Irish,English
1416,Life on the Mississippi,Mark Twain,1883,American,English
1423,La Fontaine's Fables,Jean de La Fontaine,1668,French,French
1432,The Journal of Jules Renard,Jules Renard,1887,French,French
1447,Songs of Innocence and Experience,William Blake,1789,British,English
1448,Demian,Hermann Hesse,1919,German,German
1452,Trilce,César Vallejo,1922,Peruvian,Spanish
1455,Summa Theologica,Thomas Aquinas,1274,Italian,Latin
1461,National Episodes,Benito Pérez Galdós,1873,Spanish,Spanish
1469,The Serious Game,Hjalmar Soderberg,1912,Swedish,Swedish
1471,The Emperor of Portugallia,Selma Lagerlöf,1914,Swedish,Swedish
1473,Doctor Glas,Hjalmar Soderberg,1905,Swedish,Swedish
1478,A Modest Proposal and Other Satirical Works,Jonathan Swift,1729,Irish,English
1477,Pilgrimage,Dorothy Richardson,1915,British,English
1480,The Tragical History of Doctor Faustus,Christopher Marlowe,1604,British,English
1479,The Unfortunate Traveller,Thomas Nashe,1594,British,English
1484,The Artamonov Business,Maxim Gorky,1925,Russian,Russian
1485,As A Man Grows Older,Italo Svevo,1898,Italian,Italian
1487,Storm of Steel,Ernst Jünger,1920,German,German
1488,Camilla,Fanny Burney,1796,British,English
1492,Mencius,Mencius,-300,Chinese,Classical chinese
1493,The Kreutzer Sonata,Leo Tolstoy,1889,Russian,Russian
1494,A Woman's Life,Guy de Maupassant,1883,French,French
1495,The Tale of the Bamboo Cutter,Unknown,900,Japanese,Japanese
1496,The Pit and the Pendulum,Edgar Allan Poe,1842,American,English
1497,Martín Fierro,José Hernández,1872,Argentinian,Spanish
1499,Le Diable au corps,Raymond Radiguet,1923,French,French
1504,A Little Princess,Frances Hodgson Burnett,1905,British,English
1505,Fanny Hill,John Cleland,1748,British,English
1506,The Female Quixote,Charlotte Lennox,1752,British,English
1509,Tristan,Gottfried von Strassburg,1210,German,Middle high german
1510,The Black Spider,Jeremias Gotthelf,1842,Swiss,German
1521,The Seagull,Anton Chekhov,1896,Russian,Russian
1515,The Autobiography of Benjamin Franklin,Benjamin Franklin,1791,American,English
1518,The Consolation of Philosophy,Boethius,524,Roman,Latin
1520,The Magnificent Ambersons,Booth Tarkington,1918,American,English
1531,The Principia Mathematica,"Alfred North Whitehead, Bertrand Russell",1910,British,English
1532,The Complete Poems Of San Juan De La Cruz,San Juan de la Cruz,1618,Spanish,Spanish
1538,Fragments,Heraclitus,-500,Greek,Ancient greek
1549,The Works of Max Beerbohm,Max Beerbohm,1902,British,English
1549,Lad,Albert Payson Terhune,1919,American,English
1555,The Works of Moliere,Molière,1666,French,French
1556,My First Summer in the Sierra,John Muir,1911,American,English
1563,My Childhood,Maxim Gorky,1913,Russian,Russian
1564,Professor Unrat,Heinrich Mann,1905,German,German
1562,Treatise on Radioactivity,Marie Curie,1910,French,French
1578,The Queen's Tiara,Carl Jonas Love Almqvist,1834,Swedish,Swedish
1579,The Lion of Flanders,Hendrik Conscience,1838,Belgian,Dutch
1583,The Getting Of Wisdom,Henry Handel Richardson,1910,Australian,English
1588,Marius the Epicurean,Walter Pater,1885,British,English
1591,The Heart Of Midlothian,Sir Walter Scott,1818,Scottish,English
1603,Carmen,Prosper Mérimée,1845,French,French
1616,Eclogues,Virgil,-37,Latin,Latin
1617,Satyricon,Petronius,65,Roman,Latin
1621,The Velveteen Rabbit,Margery Williams,1922,British,English
1624,Robert Browning's Poetry,Robert Browning,1833,British,English
1624,Selected Poems of Lord Byron,Lord Byron,1800,British,English
1630,The Shadow Line,Joseph Conrad,1917,British,English
1630,Poems of Góngora,Luis de Góngora,1601,Spanish,Spanish
1630,Bohemian Lights,Ramón del Valle-Inclán,1920,Spanish,Spanish
1630,Selected Poetry Of Francisco De Quevedo,Francisco de Quevedo,1648,Spanish,Spanish
1645,The Captain's Daughter,Alexander Pushkin,1836,Russian,Russian
1646,Rameau's Nephew,Denis Diderot,1761,French,French
1647,The Complete John Silence Stories,Algernon Blackwood,1908,British,English
1649,Prufrock and Other Observations,T. S. Eliot,1917,British,English
1651,Resurrection,Leo Tolstoy,1899,Russian,Russian
1665,Michael Kohlhaas,Heinrich von Kleist,1810,German,German
1657,The Devil's Pool,George Sand,1846,French,French
1657,Indian Summer,Adalbert Stifter,1857,Austrian,German
1657,Phineas Finn,Anthony Trollope,1869,British,English
1665,Pierre et Jean,Guy de Maupassant,1888,French,French
1665,The Enormous Room,E. E. Cummings,1922,American,English
1669,Gösta Berling's Saga,Selma Lagerlöf,1891,Swedish,Swedish
1669,Under Fire,Henri Barbusse,1916,French,French
1669,Life of Christ,Giovanni Papini,1921,Italian,Italian
1677,"Germany, a Winter Tale",Heinrich Heine,1844,German,German
1684,The White Devil,John Webster,1612,British,English
1686,Tirant Lo Blanc,Unknown,1490,Spanish,Catalan
1686,Amadis of Gaul,Garci R. de Montalvo,1508,Spanish,Spanish
1686,"Thomas of Reading, Or, The Sixe Worthie Yeomen of the West",Thomas Deloney,1599,British,English
1686,The Trials of Persiles and Sigismunda,Miguel de Cervantes,1617,Spanish,Spanish
1686,"Love in Excess; or, The Fatal Enquiry",Eliza Haywood,1719,British,English
1686,Memoirs of Martinus Scriblerus,Scriblerus Club,1741,British,English
1686,Reveries of a Solitary Walker,Jean-Jacques Rousseau,1782,French,French
1686,Heinrich of Ofterdingen,Novalis,1802,German,German
1686,"The Water-Babies, A Fairy Tale for a Land Baby",Charles Kingsley,1863,British,English
1686,King Lear of the Steppes,Ivan Turgenev,1870,Russian,Russian
1686,Torrents of Spring,Ivan Turgenev,1872,Russian,Russian
1686,Pepita Jimenez,Juan Valera y Alcalá-Galiano,1874,Spanish,Spanish
1686,By the Open Sea,August Strindberg,1890,Swedish,Swedish
1686,The Viceroys,Federico De Roberto,1894,Italian,Italian
1686,Compassion,Benito Pérez Galdós,1897,Spanish,Spanish
1686,Pharaoh,Bolesław Prus,1895,Polish,Polish
1686,Sandokan,Emilio Salgari,1883,Italian,Italian
1686,None but the Brave,Arthur Schnitzler,1895,Austrian,German
1686,Memoirs of My Nervous Illness,Daniel Paul Schreber,1903,German,German
1686,Hell,Henri Barbusse,1908,French,French
1686,Impressions of Africa,Raymond Roussel,1910,French,French
1686,Tarr,Wyndham Lewis,1918,British,English
1686,Life and Death of Harriett Frean,May Sinclair,1922,British,English
1686,Amok,Stefan Zweig,1922,Austrian,German
1686,The Green Hat,Michael Arlen,1924,British,English
1686,Asphodel,Hilda Doolittle,1921,American,English
1686,The Child Of Pleasure,Gabriele D'Annunzio,1889,Italian,Italian
1747,The Mysterious Affair at Styles,Agatha Christie,1920,British,English
1758,The Confidence Man,Herman Melville,1857,American,English
1765,The Jewel Of Seven Stars,Bram Stoker,1903,British,English
1769,Le Mariage De Figaro,Pierre-Augustin Caron de Beaumarchais,1784,French,French
1770,Overcoat,Nikolai Gogol,1842,Russian,Russian
1773,Winnetou,Karl May,1893,German,German
1783,Metaphysics,Aristotle,-347,Greek,Ancient greek
1788,A General Introduction to Psycho-Analysis,Sigmund Freud,1920,Austrian,German
1789,Wry-Blue Loves,Tristan Corbière,1873,French,French
1790,King Ubu,Alfred Jarry,1896,French,French
1800,The Story Of An African Farm,Olive Schreiner,1883,South African,English
1802,The Poems of John Keats,John Keats,1817,British,English
1810,Gospels,Unknown,70,Multiple,Greek
1814,Les Contemplations,Victor Hugo,1856,French,French
1817,The Everlasting Man,G. K. Chesterton,1925,British,English
1820,Gijsbrecht Van Aemstel,Joost van den Vondel,1637,Dutch,Dutch
1826,O Pioneers!,Willa Cather,1913,American,English
1822,The Poetry of Alexander Pushkin,Alexander Pushkin,1836,Russian,Russian
1823,Brief Lives,John Aubrey,1898,British,English
1829,Up from Slavery,Booker T. Washington,1901,American,English
1827,Hadji Murat,Leo Tolstoy,1912,Russian,Russian
1835,Studies in the Psychology of Sex,Havelock Ellis,1897,British,English
1834,"Abraham Lincoln, Speeches And Letters",Abraham Lincoln,1907,American,English
1840,The Yellow Wallpaper,Charlotte Perkins Gilman,1892,American,English
1850,Zuleika Dobson,Max Beerbohm,1911,British,English
1859,The Collected Works of St. John of the Cross,St. John of the Cross,1578,Spanish,Spanish
1860,The Little Demon,Fedor Sologub,1907,Russian,Russian
1865,The Fortunes Of Richard Mahony,Henry Handel Richardson,1917,Australian,English
1867,Lorna Doone,R. D. Blackmore,1869,British,English
1871,The Egoist,George Meredith,1879,British,English
1873,In the American Grain,William Carlos Williams,1925,American,English
1877,Common Sense,Thomas Paine,1776,British,English
1882,The Demon,Mikhail Lermontov,1829,Russian,Russian
1886,Democracy and Leadership,Irving Babbitt,1924,American,English
1893,Reflections of a Russian Statesman,Konstantin P. Pobedonostsev,1898,Russian,Russian
1892,The Steppe,Anton Chekhov,1888,Russian,Russian
1895,Childhood,Leo Tolstoy,1852,Russian,Russian
1897,Poor Folk,Fyodor Dostoevsky,1846,Russian,Russian
1899,Mont-Saint-Michel and Chartres,Henry Adams,1904,American,English
1906,Exemplary Stories,Miguel de Cervantes,1613,Spanish,Spanish
1909,La légende des siècles,Victor Hugo,1859,French,French
1917,A Cloud In Trousers,Vladimir Mayakovsky,1915,Russian,Russian
1920,I And My Chimney,Herman Melville,1856,American,English
1920,Life Of Quintus Fixlein,Jean-Paul Richter,1796,German,German
1929,Trojan Women,Euripides,-415,Greek,Ancient greek
1930,Daisy Miller,Henry James,1878,American,English
1941,The Compleat Angler,Izaak Walton,1653,British,English
1944,Phaedrus,Plato,-370,Greek,Ancient greek
1955,The Poems of Francois Villon,François Villon,1489,French,Middle french
1957,The Bedbug And Selected Poetry,Vladimir Mayakovsky,1920,Russian,Russian
1956,Tractatus Theologico Politicus,Baruch de Spinoza,1670,Dutch,Latin
1959,The Prairie,James Fenimore Cooper,1827,American,English
1961,The White Guard,Mikhail Bulgakov,1925,Russian,Russian
1968,The Prince and the Pauper,Mark Twain,1881,American,English
1970,Nobody's Boy,Hector Malot,1878,French,French
1980,Stories,Heinrich von Kleist,1810,German,German
1980,Lenz,Georg Buchner,1836,German,German
1982,Memoirs Of A Revolutionist,Vera Figner,1920,Russian,Russian
1982,"Oh, These Times",Catherine the Great,1790,Russian,Unknown
1982,On Sunday Morning She Gathered Herbs,Olha Kobylianska,1909,Ukrainian,Ukrainian
1982,The Memoirs Of Princess Dashkova,Ekaterina Romanovna Dashkova,1840,Russian,Russian
1982,Ethiopia Unbound,J. E. Casely Hayford,1911,Ghanaian,English
1982,The History Of The Yorubas,Reverend Samuel Johnson,1921,Nigerian,English
1982,The Soul of the White Ant,Eugène N. Marais,1925,South African,Afrikaans
1982,Native Life In South Africa,Sol Plaatje,1916,South African,English
1982,The Leavenworth Case,Anna Katharine Green,1878,American,English
2009,Studies In The History Of The Renaissance,Walter Pater,1873,British,English
2017,Bread Givers,Anzia Yezierska,1925,American,English
2018,A Connecticut Yankee In King Arthur's Court,Mark Twain,1889,American,English
2022,The Master of Ballantrae,Robert Louis Stevenson,1889,British,English
2024,Collected Poems,Arthur Rimbaud,1898,French,French
2026,Memoirs of Louis XIV,Louis de Rouvroy Saint-Simon (duc de),1740,French,French
2027,"Essays, First And Second Series",Ralph Waldo Emerson,1841,American,English
2031,Memoirs of Cardinal De Retz,Cardinal de Retz,1717,French,French
2033,The Government Inspector,Nikolai Gogol,1836,Russian,Russian
2038,Best Ghost Stories Of Algernon Blackwood,Algernon Blackwood,1907,British,English
2035,Antony And Cleopatra,William Shakespeare,1606,British,English
2041,Golem,Gustav Meyrink,1915,Austrian,German
2042,Curial e Güelfa,Anonymous,1450,Spanish,Catalan
2044,The Complete Plays of Jean Racine,Jean Racine,1677,French,French
2047,The Plum in the Golden Vase,Anonymous,1610,Chinese,Chinese
2056,Stanzas about the Death of his Father,Jorge Manrique,1476,Spanish,Spanish
2060,Wieland,Charles Brockden Brown,1798,American,English
2061,A Study In Scarlet,Arthur Conan Doyle,1887,British,English
2063,The Complete Fairy Tales of Charles Perrault,Charles Perrault,1697,French,French
2065,Song Of Myself,Walt Whitman,1855,American,English
2066,The Adventures Of Pinocchio,Carlo Collodi,1883,Italian,Italian
2068,The Belkin Tales,Alexander Pushkin,1831,Russian,Russian
2069,The Way of a Pilgrim,Anonymous,1884,Russian,Russian
2073,The History of Mr. Polly,H. G. Wells,1910,British,English
2078,Guzmán de Alfarache,Mateo Alemán,1599,Spanish,Spanish
2078,Poems,Miguel de Unamuno,1907,Spanish,Spanish
2080,Plays,Pierre Corneille,1641,French,French
2084,Scouting For Boys,Robert Baden-Powell,1908,British,English
2085,Utopia,Thomas More,1516,British,Latin
2088,Poetry,Quintus Lutatius Catulus,-89,Roman,Latin
2094,The Twelve,Alexander Blok,1918,Russian,Russian
2095,Pragmatism,William James,1907,American,English
2097,Histories,Cornelius Tacitus,100,Roman,Latin
2098,Boris Godunov,Alexander Pushkin,1831,Russian,Russian
2109,The Story of My Life,Helen Keller,1903,American,English
2101,Woe From Wit,Alexander Griboyedov,1825,Russian,Russian
2107,Three Essays on the Theory of Sexuality,Sigmund Freud,1905,Austrian,German
2108,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,1798,British,English
2111,My Past And Thoughts,Alexander Herzen,1861,Russian,Russian
2117,The Ring And The Book,Robert Browning,1868,British,English
2119,The History Of A Town,Mikhail Saltykov-Shchedrin,1870,Russian,Russian
2133,"The Poems Of John Wilmot, Earl Of Rochester",John Wilmot,1680,British,English
2131,Essays And Criticism,William Hazlitt,1823,British,English
2136,Selected Poems,Pierre Ronsard,1501,French,French
2144,For The Term Of His Natural Life,Marcus Clarke,1874,Australian,English
2208,The Painter Of Modern Life,Charles Baudelaire,1863,French,French
2208,Beethoven's Letters,Ludwig van Beethoven,1866,German,German
2208,Eothen,Alexander William Kinglake,1844,British,English
2144,Το φως που καίει,Kostas Varnalis,1922,Greek,Greek
2144,Modern Greek Stories,Georgios Vizyinos,1883,Greek,Greek
2144,My Mother's Sin,Georgios Vizyinos,1883,Greek,Greek
2144,The Only Journey Of His Life,Georgios Vizyinos,1887,Greek,Greek
2144,Η Τιμη Και Το Χρημα,Konstantinos Theotokis,1914,Greek,Greek
2144,Odes,Andreas Kalvos,1824,Greek,Greek
2144,The Beggar,Andreas Karkavitsas,1896,Greek,Greek
2144,The Poems Of Kostas Karyotakis,Kostas Karyotakis,1921,Greek,Greek
2144,Νηπενθή,Kostas Karyotakis,1921,Greek,Greek
2144,The Memoirs Of General Makriyannis,Makriyannis,1907,Greek,Greek
2144,Life In The Tomb,Stratis Myrivilis,1924,Greek,Greek
2144,The Twelve Lays Of The Gypsy,Kostis Palamas,1907,Greek,Greek
2144,The Murderess,Alexandros Papadiamantis,1903,Greek,Greek
2144,The Papess Joanne,Emmanuel Rhoides,1866,Greek,Greek
2144,Η Γυναίκα της Ζακύνθου,Dionysios Solomos,1829,Greek,Greek
2144,The Complete Works,Dionysios Solomos,1818,Greek,Greek
2144,The Free Besieged,Dionysios Solomos,1825,Greek,Greek
2144,Η Κερένια Κούκλα,Konstantinos Christomanos,1899,Greek,Greek
2144,Το Ταξίδι Μου,Yiannis Psycharis,1888,Greek,Greek
2212,Selections From The Tatler And The Spectator,"Joseph Addison, Richard Steele",1804,British,English
2212,Poems Of George Herbert,George Herbert,1633,British,English
2212,Memoirs Of The Author Of A Vindication Of The Rights Of Woman,William Godwin,1798,British,English
2212,Life Of John Sterling,Thomas Carlyle,1851,British,English
2212,The Gentle Art Of Making Enemies,James McNeill Whistler,1890,American,English
2212,The Voysey Inheritance,Harley Granville Barker,1905,British,English
2212,The Madras House,Harley Granville Barker,1910,British,English
2212,Trifles,Susan Glaspell,1916,American,English
2212,Desire Under The Elms,Eugene O'Neill,1924,American,English
2222,Poems of Friedrich Hölderlin,Friedrich Holderlin,1800,German,German
2223,The Bronze Horseman,Alexander Pushkin,1837,Russian,Russian
2228,Daughters of Fire,Gerard de Nerval,1854,French,French
2229,Diary Of A Madman,Nikolai Gogol,1835,Russian,Russian
2232,The Little Tragedies,Alexander Pushkin,1832,Russian,Russian
2234,The Mystery Of Edwin Drood,Charles Dickens,1870,British,English
2236,A Voice From The South,Anna Julia Cooper,1892,American,English
2241,Poor Liza,Nikolay Karamzin,1792,Russian,Russian
2255,Nicholas Nickleby,Charles Dickens,1839,British,English
2252,The Lower Depths,Maxim Gorky,1902,Russian,Russian
2257,Les Tragiques,Agrippa d'Aubigné,1616,French,French
2258,Nevsky Prospekt,Nikolai Gogol,1835,Russian,Russian
2262,The Tale Of Cross Eyed Lefty From Tula And The Steel Flea,Nikolai Leskov,1881,Russian,Russian
2264,Maxims,François duc de La Rochefoucauld,1665,French,French
2271,Les Destinées,Alfred de Vigny,1864,French,French
2278,The Complete Writings of Alfred de Musset,Alfred de Musset,1907,French,French
2283,The Frontier in American History,Frederick J. Turner,1920,American,English
2282,Les Caractères,Jean de La Bruyère,1688,French,French
2284,Lettres de madame de Sévigné,Marie de Rabutin-Chantal marquise de Sévigné,1671,French,French
2289,The Mysterious Portrait,Nikolai Gogol,1835,Ukrainian,Russian
2290,Just William,Richmal Crompton,1922,British,English
2294,The Provincial Letters,Blaise Pascal,1656,French,French
2297,Lady Macbeth Of Mtsensk,Nikolai Leskov,1865,Russian,Russian
2303,The Tale Of Igor's Campaign,Unknown,1187,Russian,Old east slavic
2304,Correspondence,Voltaire,1751,French,French
2306,Scenes From The Past,Alexander Sukhovo-Kobylin,1869,Russian,Russian
2307,A Nobleman's Nest,Ivan Turgenev,1859,Russian,Russian
2312,The Old World Landowners,Nikolai Gogol,1835,Ukrainian,Russian
2315,Philosophical Writings,Novalis,1798,German,German
2317,Sevastopol Sketches,Leo Tolstoy,1855,Russian,Russian
2318,Dark Night of the Soul,Jean de la Croix,1578,Spanish,Spanish
2319,Who Can Be Happy And Free In Russia?,Nikolay Nekrasov,1870,Russian,Russian
2320,Zangezi,Velimir Khlebnikov,1922,Russian,Russian
2321,The Noise Of Time,Osip Mandelstam,1925,Russian,Russian
2322,The Blue Book,Mikhail Zoshchenko,1923,Russian,Russian
2323,Journey From St. Petersburg To Moscow,Alexander Radishchev,1790,Russian,Russian
2324,The Gypsies,Alexander Pushkin,1827,Russian,Russian
2325,In The Ravine,Anton Chekhov,1900,Russian,Russian
2326,Fallen Leaves,Vasily Rozanov,1913,Russian,Russian
2328,Poem Of The Mountain,Marina Tsvetayeva,1924,Russian,Russian
2329,Massâlik Al Jinân,Cheikh Ahmadou Bamba,1895,Senegalese,Arabic
2342,Penguin Island,Anatole France,1908,French,French
2344,The Railway Children,Edith Nesbit,1906,British,English
2367,Principia Ethica,George Edward Moore,1903,British,English
2370,I Ching,China,-1000,Chinese,Chinese
2371,First Love,Ivan Turgenev,1860,Russian,Russian
2379,Flappers And Philosophers,F. Scott Fitzgerald,1920,American,English
2384,Green Mansions,W. H. Hudson,1904,British,English
2386,Five Children And It,Edith Nesbit,1902,British,English
2392,Der Judenstaat,Theodor Herzl,1896,Austro-Hungarian,German
2391,The Spirit Of The Laws,Montesquieu,1748,French,French
2393,"The Boats Of The ""Glen Carrig""",William Hope Hodgson,1907,British,English
2393,Carnacki The Ghost Finder,William Hope Hodgson,1913,British,English
2396,Niels Lyhne,Jens Peter Jacobson,1880,Danish,Danish
2403,A Midsummer Night's Dream,William Shakespeare,1595,British,English
2407,The City And The Mountains,Eça de Queirós,1901,Portuguese,Portuguese
2412,The Voyage of the Beagle,Charles Darwin,1839,British,English
2418,The American Language,H. L. Mencken,1919,American,English
2426,The Heptameron,Marguerite de Navarre,1558,French,French
2431,As You Like it,William Shakespeare,1600,British,English
2447,Greenmantle,John Buchan,1916,British,English
2451,The Prose Of The Trans Siberian,Blaise Cendrars,1913,French,French
2455,The Four Just Men,Edgar Wallace,1905,British,English
2460,Lavengro,George Borrow,1851,British,English
2463,Daddy Long Legs,Jean Webster,1912,American,English
2474,Old People And The Things That Pass,Louis Couperus,1906,Dutch,Dutch
2483,Letters On England,Voltaire,1734,French,French
2487,Hippolytus,Euripides,-428,Greek,Ancient greek
2488,Aline,Charles Ferdinand Ramuz,1905,French,French
2508,"The Sketch Book Of Geoffrey Crayon, Gent.",Washington Irving,1819,American,English
2514,Tender Buttons,Gertrude Stein,1914,American,English
2513,Twenty Years at Hull-House,Jane Addams,1910,American,English
2516,Mary Barton,Elizabeth Gaskell,1848,British,English
2518,Decline of the West,Oswald Spengler,1918,German,German
2517,The Travels of Ibn Battutah,Ibn Battúta,1355,Moroccan,Arabic
2527,Three plays,Paul Claudel,1912,French,French
2524,Either Or,Soren Kierkegaard,1843,Danish,Danish
2529,"Abu Telfan, Return from the Mountains of the Moon",Wilhelm Karl Raabe,1867,German,German
2544,The Wild Swans at Coole,William Butler Yeats,1917,Irish,English
2545,The History Of England,Thomas Babington Macaulay,1848,British,English
2545,The Lives Of The Poets,Samuel Johnson,1779,British,English
2545,The Innocents Abroad,Mark Twain,1869,American,English
2548,Towards A New Architecture,Le Corbusier,1923,French,French
2552,The Problems of Philosophy,Bertrand Russell,1912,British,English
2557,The Autobiography of Mark Twain,Mark Twain,1924,American,English
2569,Shahnameh,Ferdowsi,1010,Iranian,Persian
2570,Au Bonheur Des Dames,Émile Zola,1883,French,French
2588,The Ripening Seed,Colette,1923,French,French
2597,Poems Of Louis Aragon,Louis Aragon,1920,French,French
2598,The Age of Reason,Thomas Paine,1794,British,English
2604,The Jungle Book,Rudyard Kipling,1894,British,English
2613,My Friends,Emmanuel Bove,1924,French,French
2623,The Hill Of Dreams,Arthur Machen,1907,British,English
2621,The Night Land,William Hope Hodgson,1912,British,English
2636,On Self Reliance,Ralph Waldo Emerson,1841,American,English
2663,Phèdre,Jean Racine,1677,French,French
2667,An Essay on the Principle of Population,Thomas Robert Malthus,1798,British,English
2677,The Titan,Theodore Dreiser,1914,American,English
2686,Arrowsmith,Sinclair Lewis,1925,American,English
2689,In Search Of The Castaways,Jules Verne,1867,French,French
2734,Ozma Of Oz,L. Frank Baum,1907,American,English
2702,Parzival,Wolfram Eschenbach,1200,German,Middle high german
2703,The Tales Of Hoffmann,E. T. A. Hoffmann,1814,German,German
2700,The Poems Of Gerard Manley Hopkins,Gerald Manley Hopkins,1918,British,English
2709,ḥayy Ibn Yaqẓān,Ibn Tufayl,1170,Arabic,Arabic
2713,Discourses Of Epictetus,Epictetus,-108,Greek,Greek
2731,Daphnis and Chloe,Longus,-200,Greek,Ancient greek
2729,The Kalevala,Elias Lönnrot,1835,Finnish,Finnish
2717,Renascence and Other Poems,Edna St. Vincent Millay,1917,American,English
2717,The Life of the Bee,Maurice Maeterlinck,1901,Belgian,French
2717,The Battle with the Slum,Jacob A. Riis,1902,Danish,English
2717,The House on Henry Street,Lillian D. Wald,1915,American,English
2717,Woman Suffrage and Politics,Carrie Chapman Catt,1923,American,English
2717,Armenian Atrocities,Arnold J. Toynbee,1915,British,English
2717,War Poems of Siegfried Sassoon,Siegfried Sassoon,1919,British,English
2717,"Etiquette in Society, in Business, in Politics and at Home",Emily Post,1922,American,English
2732,The Lurking Fear And Other Stories,H. P. Lovecraft,1923,American,English
2730,Book Of The Dead,"John Skipp , Craig Spector",-1550,Multiple,English
2744,Mountain Interval,Robert Frost,1916,American,English
2745,North Of Boston,Robert Frost,1914,American,English
2747,Logical Investigations,Edmund Husserl,1900,German,German
2748,The Old English Baron,Clara Reeve,1777,British,English
2753,The Rector's Daughter,F. M. Mayor,1924,British,English
2763,Cinderella,Unknown,23,Multiple,French
2768,The Butterfly Lovers,Unknown,-389,Chinese,Chinese
2782,Calligrammes,Guillaume Apollinaire,1918,French,French
2799,Before The Law,Franz Kafka,1915,Czech,German
2799,Il Canzoniere,Francesco Petrarca,1372,Italian,Italian
2799,Kebra Nagast,Unknown,1350,Multiple,Ge'ez
2799,The Story Of The Rainbow Serpent,Unknown,-2000,Australian,Unknown
2799,The Eloquent Peasant,Unknown,-1850,Egyptian,Ancient egyptian
2799,The Emperor's New Clothes,Hans Christian Andersen,1837,Danish,Danish
2799,Poems Of Wine And Revelry,Abu Nuwas,800,Multiple,Arabic
2799,The Raven,Edgar Allan Poe,1845,American,English
2815,Handley Cross,R. S. Surtees,1843,British,English
2828,Rebellion In The Backlands,Euclides da Cunha,1902,Brazilian,Portuguese
2830,The Witness For The Prosecution,Agatha Christie,1925,British,English
2836,The Faerie Queene,Edmund Spenser,1590,British,English
2843,A Princess Of Mars,Edgar Rice Burroughs,1912,American,English
2851,The Mystery Of The Yellow Room,Gaston Leroux,1907,French,French
2855,The World as Will and Idea,Arthur Schopenhauer,1818,German,German
2858,On Growth and Form,D'Arcy Wentworth Thompson,1917,British,English
