Rank,Book,Authors,Year,Country,Language
88,Demons,Fyodor Dostoevsky,1872,Russian,Russian
89,The Age of Innocence,Edith Wharton,1920,American,English
90,Faust,Johann Wolfgang von Goethe,1808,German,German
93,Emma,Jane Austen,1815,British,English
92,The Complete Tales and Poems of Edgar Allan Poe,Edgar Allan Poe,1902,American,English
95,The Count of Monte Cristo,Alexandre Dumas,1844,French,French
96,The Picture of Dorian Gray,Oscar Wilde,1890,British,English
97,Vanity Fair,William Makepeace Thackeray,1847,British,English
99,The Scarlet Letter,Nathaniel Hawthorne,1850,American,English
103,Robinson Crusoe,Daniel Defoe,1719,British,English
104,The Tale of Genji,Murasaki Shikibu,1001,Japanese,Classical japanese
106,Treasure Island,Robert Louis Stevenson,1883,British,English
107,Buddenbrooks,Thomas Mann,1901,German,German
108,Bleak House,Charles Dickens,1852,British,English
109,The Wind in the Willows,Kenneth Grahame,1908,British,English
115,The Hound of the Baskervilles,Arthur Conan Doyle,1902,British,English
118,Walden,Henry David Thoreau,1854,American,English
120,Dead Souls,Nikolai Gogol,1842,Russian,Russian
121,Antigone,Sophocles,-441,Greek,Ancient greek
127,King Lear,William Shakespeare,1608,British,English
128,Tess of the d'Urbervilles,Thomas Hardy,1891,British,English
132,The Charterhouse of Parma,Stendhal,1839,French,French
133,Decameron,Giovanni Boccaccio,1353,Italian,Italian
135,The Woman in White,Wilkie Collins,1860,British,English
137,Paradise Lost,John Milton,1667,British,English
138,Poems of Emily Dickinson,Emily Dickinson,1890,American,English
139,First Folio,William Shakespeare,1623,British,English
140,The Three Musketeers,Alexandre Dumas,1844,French,French
143,A Sentimental Education,Gustave Flaubert,1869,French,French
144,The Canterbury Tales,Geoffrey Chaucer,1400,British,Middle english
148,Howards End,E. M. Forster,1910,British,English
149,Macbeth,William Shakespeare,1606,British,English
151,Lord Jim,Joseph Conrad,1900,British,English
154,The Prince,Niccolo Machiavelli,1532,Italian,Italian
159,The Waste Land,T. S. Eliot,1922,British,English
160,Sons and Lovers,D. H. Lawrence,1913,British,English
162,The Interpretation of Dreams,Sigmund Freud,1899,Austrian,German
163,Tom Jones,Henry Fielding,1749,British,English
167,The Flowers of Evil,Charles Baudelaire,1857,French,French
168,Fairy Tales and Stories,Hans Christian Andersen,1835,Danish,Danish
171,Confessions of Zeno,Italo Svevo,1923,Italian,Italian
172,On the Origin of Species,Charles Darwin,1859,British,English
175,Metamorphoses,Ovid,8,Roman,Latin
176,The Good Soldier Svejk,Jaroslav Hašek,1921,Czech,Czech
177,Confessions,Augustine,397,Roman,Latin
179,A Christmas Carol,Charles Dickens,1843,British,English
184,Fathers and Sons,Ivan Turgenev,1862,Russian,Russian
190,My Antonia,Willa Cather,1918,American,English
200,Communist Manifesto,"Karl Marx, Friedrich Engels",1848,German,German
201,An American Tragedy,Theodore Dreiser,1925,American,English
204,The House of Mirth,Edith Wharton,1905,American,English
208,A Season in Hell,Arthur Rimbaud,1873,French,French
209,Persuasion,Jane Austen,1817,British,English
210,Gargantua and Pantagruel,Francois Rabelais,1532,French,French
213,The Life of Samuel Johnson,James Boswell,1791,British,English
214,The Tempest,William Shakespeare,1623,British,English
218,The Jungle,Upton Sinclair,1906,American,English
219,The Turn of the Screw,Henry James,1898,American,English
220,A Tale of Two Cities,Charles Dickens,1859,British,English
228,The Counterfeiters,André Gide,1925,French,French
230,Democracy in America,Alexis de Tocqueville,1835,French,French
235,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,American,English
236,Hunger,Knut Hamsun,1890,Norwegian,Norwegian
243,Anne of Green Gables,L. M. Montgomery,1908,Canadian,English
244,Oblomov,Ivan Goncharov,1859,Russian,Russian
245,Nostromo,Joseph Conrad,1904,British,English
248,"Winesburg, Ohio",Sherwood Anderson,1919,American,English
249,Medea,Euripides,-431,Greek,Ancient greek
250,The Forsyte Saga,John Galsworthy,1906,British,English
252,The Death of Ivan Ilyich,Leo Tolstoy,1886,Russian,Russian
